,asteroid_id,asteroid_name,Minimal estimated diameter (km),Absolute_magnitude,relative_veolocity(km/s)
0,2259221,259221 (2003 BA21),0.385971268,19.19,26.1105374233
1,3022973,(1999 TN13),0.0506471459,23.6,15.4879238458
2,3837745,(2019 AR7),0.0121494041,26.7,16.8784948402
3,54215203,(2021 VF),0.0071540995,27.85,7.8920920061
4,54297798,(2022 QN5),0.0181365625,25.83,20.9447912436
5,54417555,(2023 YN),0.0178055329,25.87,17.6657266036
6,54417548,(2023 YG),0.0105330702,27.01,20.4947215003
7,54422164,(2024 BU2),0.0614546821,23.18,15.286048625
8,54427938,(2024 BW17),0.0518268695,23.55,12.7409495449
9,54567021,(2025 XF5),0.0339746488,24.467,7.6586393269
10,54567035,(2025 XY5),0.0478580475,23.723,7.0385971823
11,54571231,(2025 YY8),0.0273624497,24.937,6.5935076436
12,2026663,26663 (2000 XK47),0.620233153,18.16,17.1847954679
13,54105509,(2021 AM5),0.0248058993,25.15,10.6930290287
14,54248949,(2022 EO),0.0033616692,29.49,7.0518602975
15,54317205,(2022 UE3),0.0318093633,24.61,8.2099101189
16,54417170,(2023 XM15),0.0382432662,24.21,6.8895795139
17,54554476,(2025 UY5),0.0738847787,22.78,6.401054847
18,2067381,67381 (2000 OL8),0.2914439045,19.8,19.8406793834
19,3555769,(2011 BG24),0.0108781483,26.94,15.6914989735
20,3655748,(2014 AF16),0.0253837029,25.1,9.4961278082
21,3795087,(2017 YK5),0.0413575665,24.04,16.9517399415
22,3837753,(2019 AW7),0.096506147,22.2,22.1235651089
23,54293876,(2020 AQ24),0.0268259417,24.98,21.1214473015
24,54323527,(2022 VG),0.0075954757,27.72,8.0914268029
25,54533421,(2025 KE4),0.0037372743,29.26,3.976711515
26,54566455,(2025 XA4),0.0922051071,22.299,13.4325988341
27,54567034,(2025 XX5),0.0484122176,23.698,10.8733224176
28,54569574,(2025 YA4),0.0295906821,24.767,15.5983487666
29,54571052,(2025 YN7),0.0138852907,26.41,8.1911854896
30,54571055,(2025 YQ7),0.0142349182,26.356,7.8163646507
31,54571060,(2025 YV7),0.0116186315,26.797,13.5730861964
32,54571240,(2025 YQ9),0.0422235726,23.995,11.1455730482
33,2367390,367390 (2008 MB5),0.3789264984,19.23,14.7488998189
34,3831851,(2018 TV5),0.0033462237,29.5,13.892488556
35,3879168,(2019 TZ6),0.0076657557,27.7,11.6504100344
36,54075551,(2020 UE2),0.0127219879,26.6,8.4897244388
37,54516463,(2025 BE1),0.013506878,26.47,10.3428644696
38,54567031,(2025 XU5),0.0170590553,25.963,5.6060628167
39,54569032,(2025 YE3),0.0169338215,25.979,8.1756289541
40,54569033,(2025 YF3),0.0266535448,24.994,6.9645165243
41,54569579,(2025 YF4),0.0161047867,26.088,7.3423146177
42,54569581,(2025 YH4),0.0251625689,25.119,5.8107777973
43,54571048,(2025 YT6),0.0449526166,23.859,15.4621060203
44,54571050,(2025 YV6),0.008656752,27.436,5.6721111426
45,3620670,(2012 XS111),0.1010543415,22.1,18.4710403619
46,3680269,(2014 PZ58),0.0532788665,23.49,6.1079243747
47,54075314,(2020 TJ8),0.0305179233,24.7,11.9523720423
48,54317861,(2022 UO3),0.0197040262,25.65,4.3878965044
49,54339762,(2023 BY),0.0136318556,26.45,9.3122696052
50,54352301,(2023 FN4),0.0073545309,27.79,4.9850214842
51,54393981,(2023 TQ15),0.0177237239,25.88,15.13488434
52,54490133,(2024 TW9),0.0204434871,25.57,10.9970213177
53,54490130,(2024 TQ9),0.0018730742,30.76,20.6816699581
54,54566734,(2025 XS4),0.0186018003,25.775,6.4842572446
55,54571061,(2025 YW7),0.0479242116,23.72,17.0923045488
56,3427460,(2008 ST),0.0101054342,27.1,4.0708912925
57,3483513,(2009 XT6),0.2251930467,20.36,37.3984603219
58,3544935,(2010 PW58),0.1214940408,21.7,11.0507855666
59,3781043,(2017 QK18),0.031228777,24.65,17.4519801616
60,3797753,(2018 BV1),0.0366906138,24.3,13.1227719633
61,3825245,(2018 LX5),0.0242412481,25.2,11.8967081689
62,3841624,(2019 HO3),0.0506471459,23.6,13.2055603981
63,3893275,(2019 WK),0.063760979,23.1,8.9085641656
64,54051372,(2020 QX4),0.0643509521,23.08,14.7484650258
65,54105990,(2021 AQ6),0.0291443905,24.8,15.1203444561
66,54114211,(2010 KD149),0.1344481952,21.48,11.0507956476
67,54200466,(2021 SX2),0.04411182,23.9,17.2212774708
68,54299573,(2022 QP31),0.0131387781,26.53,15.1611932352
69,54381665,(2023 RF4),0.0235806068,25.26,14.787964261
70,54438673,(2024 HO2),0.0033927744,29.47,17.8021425279
71,54491554,(2024 TC16),0.0310852938,24.66,5.6079189787
72,54564661,(2025 WB14),0.0415484643,24.03,3.962215959
73,54568433,(2025 YV1),0.047027834,23.761,16.3951607877
74,54569387,(2025 YY3),0.0239527277,25.226,13.3009694553
75,54569942,(2025 YX4),0.0785515893,22.647,25.1531318537
76,54570883,(2025 YM6),0.0139558077,26.399,7.4765191506
77,2523728,523728 (2014 ON344),0.0802703167,22.6,19.3324956099
78,3483327,(2009 XP2),0.0242412481,25.2,15.3720926142
79,3699506,(2014 WE365),0.1543671822,21.18,16.5395091484
80,3878570,(2019 TZ1),0.0421264611,24.0,17.7839960826
81,54322883,(2022 UK24),0.006259721,28.14,11.9309217035
82,54417171,(2023 XN15),0.0122054832,26.69,30.6636346984
83,54485072,(2024 SY5),0.0064946384,28.06,6.3070180658
84,54496395,(2024 UV7),0.0035526709,29.37,9.0410017749
85,54568218,(2025 YZ),0.0219055911,25.42,6.6675969243
86,54568222,(2025 YC1),0.0360043501,24.341,5.4705476477
87,54568743,(2025 YT2),0.0076024746,27.718,5.5347830785
88,54571301,(2025 YS9),0.0152389476,26.208,11.1622590901
89,2162470,162470 (2000 KX43),0.3771854893,19.24,31.2413195951
90,2418265,418265 (2008 EA32),1.3383046182,16.49,14.3721888624
91,2422686,422686 (2000 AC6),0.1254743564,21.63,6.6187613793
92,3102731,(2002 AB2),0.0586887658,23.28,27.1829526971
93,3177232,(2004 FG29),0.0167708462,26.0,19.3584496073
94,3553148,(2010 XB11),0.3065878759,19.69,16.2617917198
95,3595775,(2012 AB11),0.0913177026,22.32,19.1834816787
96,3686085,(2014 QN433),0.0880146521,22.4,14.232197527
97,3797905,(2018 BM5),0.0087207729,27.42,7.8825103123
98,3802063,(2018 FV3),0.0211132445,25.5,5.5846242658
99,3825138,(2018 LC3),0.4619074603,18.8,31.1711884966
100,3837907,(2019 AJ13),0.0063760979,28.1,20.3166181645
101,54339175,(2023 AK2),0.0251509837,25.12,6.2800076104
102,2620103,620103 (2018 LC3),0.4619074603,18.8,31.1711706587
103,54376464,(2023 OR5),0.0242412481,25.2,17.1980215594
104,54382563,(2023 RN7),0.061738344,23.17,15.5918441525
105,2668499,668499 (2012 AB11),0.0913177026,22.32,19.1834816849
106,54568220,(2025 XC7),0.0224571674,25.366,6.5609875963
107,54569026,(2025 YB3),0.0400640618,24.109,8.5771964878
108,54569037,(2025 YK3),0.0770823553,22.688,16.4967199406
109,54569584,(2025 YL4),0.0123240933,26.669,9.8181368067
110,54569585,(2025 YM4),0.0218552096,25.425,12.793676603
111,54569591,(2025 YT4),0.0327608361,24.546,17.0985129568
